"goods_img","goods_title","goods_price","goods_sales","shop_title","shop_platform","goods_link","grab_time","page_type"
"https://imgservice4.suning.cn/uimg1/b2c/image/4W_TbjDQbs_eZ0WhI_FS5g.png_400w_400h_4e","彪马(PUMA)官方舰店男鞋女鞋 23秋季新款运动鞋休闲鞋时尚复古潮流高帮板鞋 374765-05 45/295mm/1热卖中","35860.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12418780363.html","2025-07-04 14:41","product"
"https://imgservice2.suning.cn/uimg1/b2c/image/wF4byDuynx9DIkaqH7OooQ.jpg_400w_400h_4e","彪马(PUMA)官方女鞋 秋季新款运动鞋户外出行时尚板鞋低帮轻便透气休闲鞋 393065-02热卖中","46870.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585553.html","2025-07-04 14:41","product"
"https://imgservice2.suning.cn/uimg1/b2c/image/SRiIaJz804BkwlG8c6srMQ.jpg_400w_400h_4e","彪马(PUMA)休闲鞋男女鞋子复古撞色运动鞋轻便情侣鞋 392901-01热卖中","35000.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585562.html","2025-07-04 14:41","product"
"https://imgservice3.suning.cn/uimg1/b2c/image/krpGE_8rl_k3K8q48R8ppA.jpg_400w_400h_4e","彪马(Puma)男鞋女鞋 秋季新款时尚舒适轻便运动鞋透气潮流休闲健身鞋 393277热卖中","42220.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585599.html","2025-07-04 14:41","product"
"https://imgservice4.suning.cn/uimg1/b2c/image/ao5GzRYN5N0HoAO3T47Pvw.jpg_400w_400h_4e","彪马(Puma)男鞋女鞋板鞋 秋季自新款营运动鞋透气情侣鞋缓震时尚休闲鞋 393282热卖中","46190.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585684.html","2025-07-04 14:41","product"
"https://imgservice5.suning.cn/uimg1/b2c/image/pooucm9uBKSrtF_kYp6QPA.jpg_400w_400h_4e","彪马(PUMA)女鞋 秋季新款跑步运动鞋户外健身训练时尚透气耐磨休闲鞋 395904热卖中","40230.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585719.html","2025-07-04 14:41","product"
"https://imgservice5.suning.cn/uimg1/b2c/image/_D3s5lD8fRdgXBPeQ-QV6A.jpg_400w_400h_4e","彪马(PUMA)官方 新款男女同款情侣复古休闲鞋 R78 NYLON 397149热卖中","41260.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585728.html","2025-07-04 14:41","product"
"https://imgservice1.suning.cn/uimg1/b2c/image/cT2QNNkagUqTLTeyJYNfOw.jpg_400w_400h_4e","彪马(PUMA)男鞋女鞋秋季新款体考田径训练短跑钉鞋比赛跑步鞋运动鞋钉子鞋 194934-01热卖中","38090.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585761.html","2025-07-04 14:41","product"
"https://imgservice3.suning.cn/uimg1/b2c/image/rVvZzJoBp1QedndTmNkBiw.jpg_400w_400h_4e","彪马(PUMA)女鞋冬季新款SUEDE复古低帮厚底运动鞋学生女子休闲板鞋 395904热卖中","40230.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585845.html","2025-07-04 14:41","product"
"https://imgservice3.suning.cn/uimg1/b2c/image/cBRAmvoILlS4wP-vgUN-EQ.jpg_400w_400h_4e","彪马(Puma)男鞋女鞋 秋冬新款户外跑步运动鞋时尚复古舒适透气休闲鞋 397149-01热卖中","41260.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585862.html","2025-07-04 14:41","product"
"https://imgservice4.suning.cn/uimg1/b2c/image/rBpTSnZ55eT5rh6JoUhGUQ.jpg_400w_400h_4e","彪马(PUMA)板鞋男女鞋秋季新款运动低帮轻便休闲鞋小白鞋374902热卖中","27630.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422585925.html","2025-07-04 14:41","product"
"https://imgservice2.suning.cn/uimg1/b2c/image/_KLSx-4Ms_vCu9Y8VwUAdw.jpg_400w_400h_4e","彪马(Puma)男鞋女鞋 秋季新款时尚潮流休闲鞋子户外耐磨缓震运动鞋 388774热卖中","46200.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12422586171.html","2025-07-04 14:41","product"
